SITECODE,PERIOD,LU_INT,LU_PROCESS,GP,SGP,CONTEXT,BASIC_INT,PARENT_CONTEXT,BASIC_PROCESS,ACC_NO,MATERIAL,COIN_TYPE,COIN_REGIME,RULER,COIN_EDATE,COIN_LDATE,DENOMINATION,DIAMETER,MINT,COIN_MONEYER,COIN_CONDITION,COIN_REFS,COIN_NOTE,ASS_TPQ,ASS_TAQ,CONEMP
A14-32,99,-,,,,320002,SUBSOIL,320002,,32070,COPPER ALLOY,,,,700,900,,,,,,,,0,0,
A14-32,99,-,,,,320002,SUBSOIL,320002,,32074,COPPER ALLOY,COPY,R,CONSTANTIUS II,330,335,,16,TRIER,,,,,0,0,
A14-32,99,-,,,,320002,SUBSOIL,320002,,32075,SILVER,COIN,E,,1066,1485,,9,,,CUTQ,A penny cut into quarters as farthings,,0,0,
A14-32,99,-,,,,320002,SUBSOIL,320002,,32076,COPPER ALLOY,COIN,R,VALENTINIAN I,364,365,NUMMUS,20,ARLES,,,WR: C/D,,0,0,
A14-32,99,-,,,,320002,SUBSOIL,320002,,32077,COPPER ALLOY,JETTON,N,,1550,1635,,24,,,,Mitchiner,,0,0,
A14-32,99,-,,,,320002,SUBSOIL,320002,,32082,COPPER ALLOY,,,,1550,1900,,,,,,,,0,0,
A14-32,99,-,,,,320002,SUBSOIL,320002,,32083,COPPER ALLOY,JETTON,N,,1550,1635,,20,,,,,,0,0,
A14-32,99,-,,,,320002,SUBSOIL,320002,,32084,COPPER ALLOY,,,,0,0,,,,,,,,0,0,
A14-32,99,-,,,,320225,NATURAL INFILLING,320225,,32032,COPPER ALLOY,,,,1066,1485,,,,,,,,0,0,
A14-32,99,-,,,,320225,NATURAL INFILLING,320225,,32033,COPPER ALLOY,,,,200,300,,,,,,,,0,0,
A14-32,99,-,,,,320225,NATURAL INFILLING,320225,,32062,IRON,,,,0,0,,,,,,,,0,0,
A14-32,99,-,,,,320225,NATURAL INFILLING,320225,,32063,IRON,,,,0,0,,,,,,,,0,0,
A14-32,99,-,,,,320225,NATURAL INFILLING,320225,,32064,LEAD,,,,0,0,,,,,,,,0,0,
A14-32,99,-,,,,320225,NATURAL INFILLING,320225,,32065,IRON,,,,0,0,,,,,,,,0,0,
A14-32,99,-,,,,320225,NATURAL INFILLING,320225,,32066,IRON,,,,0,0,,,,,,,,0,0,
A14-32,99,-,,,,320225,NATURAL INFILLING,320225,,32067,IRON,,,,0,0,,,,,,,,0,0,
A14-32,99,-,,,,320225,NATURAL INFILLING,320225,,32069,IRON,,,,0,0,,,,,,,,0,0,
A14-32,99,-,,,,320225,NATURAL INFILLING,320225,,32102,IRON,,,,0,0,,,,,,,,0,0,
A14-32,99,-,,,,320225,NATURAL INFILLING,320225,,32107,COPPER ALLOY,COIN,IA,TASCIOVANOS,-20,10,,16.5,,,CORR,BMC 1711-13; ABC 2655,,0,0,
A14-32,99,-,,,,320225,NATURAL INFILLING,320225,,32111,IRON,,,,1800,2000,,,,,,,,0,0,
A14-32,99,-,,,,320225,NATURAL INFILLING,320225,,32112,IRON,,,,1250,1600,,,,,,,,0,0,
A14-32,99,-,,,,320225,NATURAL INFILLING,320225,,32113,COPPER ALLOY,COIN,R,GALLUS,353,355,NUMMUS,18,,,,"cf RIC 8, 166, no.353 (Trier) Though A behind head not seen",,0,0,
A14-32,99,-,,,,320225,NATURAL INFILLING,320225,,32114,COPPER ALLOY,,,,1550,1900,,,,,,,,0,0,
A14-32,99,-,,,,320225,NATURAL INFILLING,320225,,32115,COPPER ALLOY,COIN,R,CONSTANTINE I,332,333,NUMMUS,17,TRIER,,,"RIC 7, 216 no.538",,0,0,
A14-32,99,-,,,,320225,NATURAL INFILLING,320225,,32116,COPPER ALLOY,COIN,R,CONSTANTINE I,330,335,NUMMUS,16,TRIER,,,,,0,0,
A14-32,99,-,,,,320225,NATURAL INFILLING,320225,,32117,COPPER ALLOY,,,,0,70,,,,,,,,0,0,
A14-32,99,-,,,,320225,NATURAL INFILLING,320225,,32118,COPPER ALLOY,COIN,R,CONSTANTINE I,320,321,NUMMUS,19,TRIER,,,RIC 7 189 no.291,,0,0,
A14-32,99,-,,,,320225,NATURAL INFILLING,320225,,32119,LEAD,TOKEN,E,,1575,1800,,22.3,,,WORN,Powell type 10/17,,0,0,
A14-32,99,-,,,,321382,OTHER,321381,,32096,LEAD,,,,1500,2000,,8,,,,,,0,0,
A14-32,99,-,,,,321382,OTHER,321381,,32101,COPPER ALLOY,COPY,R,,330,402,,20,,,,,,0,0,
A14-32,99,-,,,,321382,OTHER,321381,,32869,GLASS,,,,1730,1830,,,,,NA,,,0,0,
A14-32,7.1,-,,30,2,322218,OTHER,322214,,32091,COPPER ALLOY,COIN,R,FAUSTINA II,145,146,SESTERTIUS,32,ROME,,,"RIC 3, 194 no 1405",,0,0,
A14-32,7.1,-,,30,2,322218,OTHER,322214,,32792,COPPER ALLOY,,,,0,0,,,,,,,,0,0,
A14-32,99,-,,,,322711,OTHER,322712,,32337,SILVER,COIN,AS,,690,715,,11.6,,,,SERIES D - FRISIAN,,0,0,
A14-32,99,-,,,,322711,OTHER,322712,,32338,SILVER,COIN,AS,,710,755,,12.4,,,,Naismith 2017 - Series U but no ship?,,0,0,
A14-32,7.1,-,,24,,324216,NATURAL INFILLING,324212,,32089,LEAD,,,,0,0,,,,,,,,0,0,
A14-32,7.1,-,,24,,324216,NATURAL INFILLING,324212,,32092,COPPER ALLOY,COIN,R,TETRICUS I,271,274,RADIATE,17,,,,"cf RIC 5 pt 1, 408 no 87",,0,0,
A14-32,7.1,-,,24,,324216,NATURAL INFILLING,324212,,32739,CERAMIC,,,,500,900,,,,,,,,0,0,
A14-32,7.3,E5,,67,,324242,NATURAL INFILLING,324240,,32103,COPPER ALLOY,COIN,R,,260,296,,20,,,,,,0,0,
A14-32,7.3,E5,,67,,324242,NATURAL INFILLING,324240,,32104,COPPER ALLOY,COIN,R,,330,335,NUMMUS,16,,,CORR,,,0,0,
A14-32,7.3,E5,,67,,324242,NATURAL INFILLING,324240,,32105,IRON,,,,0,0,,,,,,,,0,0,
A14-32,7.3,E5,,67,,324242,NATURAL INFILLING,324240,,32106,IRON,,,,0,0,,,,,,,,0,0,
